,title,description,prerequisites,fall,spring,department_id,number,course_id,year,term,Enrollment,Evaluations,ResponseRate,CourseOverall,Materials,Assignments,Feedback,Section,Workload,Difficulty,WouldYouRecommend
169,The Emotional Mind,"Not only do emotions permeate our everyday lives, they have aided in the survival of the human species. But what are emotions, and what are they good for? What causes us to experience an emotion? And how do emotional responses, in turn, influence our perception, memory, decision-making, and psychological well-being? This course will address these questions by drawing on key advances from historical, philosophical, psychological, and neuroscientific perspectives.","Recommended: The Psychology Department requires completion of Science of Living Systems 20 (or equivalent) and at least one foundational course from MCB 80, PSY 14, PSY 15, PSY 18, or Science of Living Systems 15 before enrolling in this course.",N,Y,124,PSY 1702,13453,2015,2,25.0,16.0,64.0,4.2,4.4,4.3,4.3,4.4,3.3,-1.0,4.1
170,Laboratory for Affective and Developmental Neuroscience,"Conduct research on emotion processing and/or adolescent socioemotional development, incorporating methods of cognitive neuroscience including functional brain imaging (fMRI). Read and discuss current issues in the fields of affective, cognitive, and developmental neuroscience.","Recommended: For undergraduates, Science of Living Systems 20 (or equivalent) and at least one foundational course from PSY 14, PSY 15, PSY 16, PSY 18 or Science of Living Systems 15.",Y,Y,124,PSY 2160R,4309,2015,2,6.0,4.0,66.67,4.5,5.0,5.0,4.7,,3.3,-1.0,5.0
171,Laboratory for Affective and Developmental Neuroscience,"Conduct research on emotion processing and/or adolescent socioemotional development, incorporating methods of cognitive neuroscience including functional brain imaging (fMRI). Read and discuss current issues in the fields of affective, cognitive, and developmental neuroscience.","Recommended: For undergraduates, Science of Living Systems 20 (or equivalent) and at least one foundational course from PSY 14, PSY 15, PSY 16, PSY 18 or Science of Living Systems 15.",Y,Y,124,PSY 2160R,4309,2015,1,8.0,8.0,100.0,5.0,4.8,4.8,5.0,5.0,7.2,-1.0,5.0
172,Laboratory for Affective and Developmental Neuroscience,"Conduct research on emotion processing and/or adolescent socioemotional development, incorporating methods of cognitive neuroscience including functional brain imaging (fMRI). Read and discuss current issues in the fields of affective, cognitive, and developmental neuroscience.","Recommended: For undergraduates, Science of Living Systems 20 (or equivalent) and at least one foundational course from PSY 14, PSY 15, PSY 16, PSY 18 or Science of Living Systems 15.",Y,Y,124,PSY 2160R,4309,2014,2,4.0,4.0,100.0,5.0,5.0,5.0,5.0,,4.0,-1.0,5.0
173,How to Read a Book,"This hands-on interdisciplinary undergraduate seminar is for students who want to think about what a book is and how to read one. Readings include historical and literary narratives of reading by Cervantes, Richardson, Franklin, Sterne, Ellison, and Bradbury, together with research exercises in Harvard library and museum collections.",,N,Y,72,HIST 84E,2369,2014,2,7.0,7.0,100.0,4.6,3.9,4.3,4.4,4.3,3.7,-1.0,4.4
174,Henry Kissinger: Statecraft in Theory and Practice,"As National Security Adviser and Secretary of State, Henry Kissinger was the architect of the policy of d&eacute;tente with the Soviet Union, of the &quot;opening&quot; to China, and of the effort to salvage &quot;peace with honor&quot; in Vietnam. Yet Kissinger should be understood as a scholar as well as a statesman. Using selections from his writings, this seminar will assess Kissinger in his own terms and in the context of modern international history.",,Y,N,72,HIST 89H,2384,2015,1,22.0,19.0,86.36,4.5,4.5,4.3,3.8,4.7,6.3,-1.0,4.7
175,Henry Kissinger: Statecraft in Theory and Practice,"As National Security Adviser and Secretary of State, Henry Kissinger was the architect of the policy of d&eacute;tente with the Soviet Union, of the &quot;opening&quot; to China, and of the effort to salvage &quot;peace with honor&quot; in Vietnam. Yet Kissinger should be understood as a scholar as well as a statesman. Using selections from his writings, this seminar will assess Kissinger in his own terms and in the context of modern international history.",,Y,N,72,HIST 89H,2384,2015,1,22.0,19.0,86.36,4.5,4.5,4.3,3.8,4.7,6.3,-1.0,4.7
176,The Shock of the New,"This course will explore the impact of unprecedented events, overwhelming experiences and radical technological innovation on both human beings and the life worlds to which they belong. It will cover some of the epistemological, ethical, social and existential quandaries that constitute what Robert Hughes calls 'the shock of the new', as well as the religious and ritual strategies whereby people struggle to avert, accommodate, cope with and comprehend massive changes to their lives. Interpretive perspectives will be drawn from psychology, philosophy, ethnography, ethology and biomedicine, while specific empirical cases will cover new media of communications and information processing, new genetic technologies, medical crises (disabilities, organ transplantation, trauma and epidemic disease), as well as culture contact and culture shock.",,N,Y,160,RELIGION 1017,5040,2015,2,17.0,11.0,64.71,4.0,4.4,4.4,4.3,4.4,3.0,-1.0,4.3
177,Space and Place,"This course is a cross-cultural exploration of human modes of constructing, experiencing and conceptualizing the dynamic relationship between abstract space and particular or intimate places, between natural or built environments and human subjects, between macrocosm and microcosm.",,N,Y,160,RELIGION 2010,5116,2015,2,2.0,2.0,100.0,4.5,4.0,4.5,4.0,4.0,4.0,-1.0,4.5
178,Autism,"Autism is an increasingly common disorder, frequently found in the popular press and Hollywood movies. It affects roughly 1:100 individuals, approximately 500 times the rate of just a few decades ago. Sadly, despite the considerable financial resources devoted to the study of autism we still do not know what causes the disorder, why its severity varies so enormously from person to person and how best to treat it. This seminar will be broad in scope, focusing on the following key themes: genetic, neurological and possibly environmental causes of autism, risk factors for developing the disorder, best way to characterize the disorder, best treatment options.",,N,Y,56,FRSEMR 25E,1794,2014,2,6.0,6.0,100.0,4.0,3.7,3.0,2.8,3.3,3.2,-1.0,3.8
179,You and Your Camera,"The goal of representing the 3-dimensional world on a 2-dimensional surface dates back at least 30,000 years.&nbsp; For nearly all of these past centuries there were relatively few people who had the talent to create realistic 2-dimensional images of the people and things that wanted preservation. Although photography has changed this there are still significant differences between the images that most people create and the photographs of leading photographers.&nbsp; The hope is that this seminar will give students the tools to improve their photographs. After a brief review of the historical review of art and photography the seminar will proceed to discuss the components of a modern camera, what the components are and how they work. Topics to be covered include both the physical optics of simple and compound lenses as well as the quantum physics that is the basis of the electronic devices that are fundamental to digital photography. The differences between the RAW, JPEG and TIFF methods for storing digital photographs will be discussed along with artifacts such as the aliasing that can arise in the digitization of images. Exercises will include, amongst other things, how to manipulate images using the open source GIMP software. An essential issue for color photography is the manner in which the human visual system transforms the wavelength information in the light entering the eye into perceptions of color. The seminar will explain the trichromatic theory of color vision and then discuss the management systems for color printing.",Course open to Freshman Students Only,N,Y,56,FRSEMR 34O,1831,2015,2,7.0,6.0,85.71,3.5,3.7,3.7,3.0,3.5,2.0,-1.0,3.3
180,You and Your Camera,"The goal of representing the 3-dimensional world on a 2-dimensional surface dates back at least 30,000 years.&nbsp; For nearly all of these past centuries there were relatively few people who had the talent to create realistic 2-dimensional images of the people and things that wanted preservation. Although photography has changed this there are still significant differences between the images that most people create and the photographs of leading photographers.&nbsp; The hope is that this seminar will give students the tools to improve their photographs. After a brief review of the historical review of art and photography the seminar will proceed to discuss the components of a modern camera, what the components are and how they work. Topics to be covered include both the physical optics of simple and compound lenses as well as the quantum physics that is the basis of the electronic devices that are fundamental to digital photography. The differences between the RAW, JPEG and TIFF methods for storing digital photographs will be discussed along with artifacts such as the aliasing that can arise in the digitization of images. Exercises will include, amongst other things, how to manipulate images using the open source GIMP software. An essential issue for color photography is the manner in which the human visual system transforms the wavelength information in the light entering the eye into perceptions of color. The seminar will explain the trichromatic theory of color vision and then discuss the management systems for color printing.",Course open to Freshman Students Only,N,Y,56,FRSEMR 34O,1831,2014,2,9.0,8.0,88.89,3.2,3.9,3.6,4.1,3.5,1.4,-1.0,3.0
181,The Art of Noticing,"This is an advanced writing course on writing about poetry, music and art. The assumption of the course is that noticing is a mental discipline like any other and can be cultivated by good habits, exercises and practice. Noticing is also the one basic mental practice shared by the sciences and the humanities, and is indispensable to both. The word &#39;aesthetics&#39; is from the Greek word for &#39;perception&#39;&mdash;arguably interpretable as &#39;noticing.&#39; After the eighteenth century, aesthetics came to mean philosophical meditation on art. But in this course aesthetics means the art of noticing things one doesn&rsquo;t normally see, and deciding which of these things is important. We will be examining together in the classroom poems and works of visual art, and there will be outings to the Harvard Art Museums, the Museum of Natural History as well as to the Boston Museum of Fine Arts and the Isabella Stewart Gardner Museum. Evaluation will be based on writing done in and out of class in a journal each student will be required to keep. Journals and papers will be turned in at the end of the class for a cumulative evaluation interview.",Course open to Freshman Students Only,Y,N,56,FRSEMR 34S,1832,2015,1,9.0,7.0,77.78,4.7,4.4,4.1,4.6,5.0,1.4,-1.0,4.7
182,The Art of Noticing,"This is an advanced writing course on writing about poetry, music and art. The assumption of the course is that noticing is a mental discipline like any other and can be cultivated by good habits, exercises and practice. Noticing is also the one basic mental practice shared by the sciences and the humanities, and is indispensable to both. The word &#39;aesthetics&#39; is from the Greek word for &#39;perception&#39;&mdash;arguably interpretable as &#39;noticing.&#39; After the eighteenth century, aesthetics came to mean philosophical meditation on art. But in this course aesthetics means the art of noticing things one doesn&rsquo;t normally see, and deciding which of these things is important. We will be examining together in the classroom poems and works of visual art, and there will be outings to the Harvard Art Museums, the Museum of Natural History as well as to the Boston Museum of Fine Arts and the Isabella Stewart Gardner Museum. Evaluation will be based on writing done in and out of class in a journal each student will be required to keep. Journals and papers will be turned in at the end of the class for a cumulative evaluation interview.",Course open to Freshman Students Only,Y,N,56,FRSEMR 34S,1832,2015,1,9.0,7.0,77.78,4.7,4.4,4.1,4.6,5.0,1.4,-1.0,4.7
183,"History, Nationalism, and the World: the Case of Korea",The colonialism and postcolonial division of Korea into North and South thrust the memory of past events into current political discussions as well as scholarly debates. This seminar investigates selected events in Korean history to map the interaction between historical writing and politics and to address questions such as why historians have emphasized certain periods and aspects of Korean history while ignoring others.,Course open to Freshman Students Only,Y,N,56,FRSEMR 43W,1869,2015,1,8.0,7.0,87.5,3.7,3.6,3.7,3.9,4.0,2.8,-1.0,3.7
184,"History, Nationalism, and the World: the Case of Korea",The colonialism and postcolonial division of Korea into North and South thrust the memory of past events into current political discussions as well as scholarly debates. This seminar investigates selected events in Korean history to map the interaction between historical writing and politics and to address questions such as why historians have emphasized certain periods and aspects of Korean history while ignoring others.,Course open to Freshman Students Only,Y,N,56,FRSEMR 43W,1869,2015,1,8.0,7.0,87.5,3.7,3.6,3.7,3.9,4.0,2.8,-1.0,3.7
185,History and Anthropology of Medicine and Biology,"Explores recent historical and anthropological approaches to the study of life in both medicine and biology. Topics include: natural history and medicine before the emergence of biology; the history of heredity and molecular biology; race and medicine in the colonies and the metropole; bioeconomic exchange; old and new forms of biopower at molecular, organismic, and global scales. The seminar trains students to engage in scholarly debates in the humanities, social sciences, and natural sciences about the nature of life, the body, and biomedicine. Co-taught with Professor Stefan Helmreich (MIT Anthropology); the class will meet at Harvard.",,N,Y,76,HISTSCI 246,2687,2015,2,3.0,1.0,33.33,5.0,5.0,5.0,5.0,5.0,,-1.0,4.0
186,History of Modern Latin America,"This course surveys Latin America from its 19th-century independence movements through the present day. How did the powerful legacies of European colonialism, and the neocolonial economic order that emerged to replace it, shape the Americas' new nations? Themes include nationalism and identity, revolution and counterrevolution, populism, state formation, race and ethnicity, gender and sexuality, social movements, the role of foreign powers, inequality and social class, dictatorship, democratization, and human rights.",,Y,N,72,HIST 1513,2436,2015,1,70.0,57.0,81.43,4.4,4.5,4.2,4.4,4.0,5.2,-1.0,4.4
187,History of Modern Latin America,"This course surveys Latin America from its 19th-century independence movements through the present day. How did the powerful legacies of European colonialism, and the neocolonial economic order that emerged to replace it, shape the Americas' new nations? Themes include nationalism and identity, revolution and counterrevolution, populism, state formation, race and ethnicity, gender and sexuality, social movements, the role of foreign powers, inequality and social class, dictatorship, democratization, and human rights.",,Y,N,72,HIST 1513,2436,2015,1,70.0,57.0,81.43,4.4,4.5,4.2,4.4,4.0,5.2,-1.0,4.4
188,American Fetish: Consumer Culture Encounters the Other,"How are notions of human difference, including ethnicity, race, gender, and sexuality, used to sell products in an increasingly global market? We will start in the nineteenth century with the rise of consumer culture, examining how cultures and people considered ""primitive"" achieved value as objects for exchange and entertainment, and then investigate how this idea takes shape in our contemporary moment. Topics include: sex tourism; commodification of ""queer"" and multiracial aesthetics; ""compassionate"" consumption.",,N,Y,149,WOMGEN 1424,4930,2015,1,12.0,11.0,91.67,4.7,4.9,4.3,4.5,4.6,4.7,-1.0,4.7
189,American Fetish: Consumer Culture Encounters the Other,"How are notions of human difference, including ethnicity, race, gender, and sexuality, used to sell products in an increasingly global market? We will start in the nineteenth century with the rise of consumer culture, examining how cultures and people considered ""primitive"" achieved value as objects for exchange and entertainment, and then investigate how this idea takes shape in our contemporary moment. Topics include: sex tourism; commodification of ""queer"" and multiracial aesthetics; ""compassionate"" consumption.",,N,Y,149,WOMGEN 1424,4930,2015,1,12.0,11.0,91.67,4.7,4.9,4.3,4.5,4.6,4.7,-1.0,4.7
190,Building a Living Cell One Brick at a Time,"Synthetic biology is an emerging multi-disciplinary field of research aimed at developing solutions to problems impacting our individual lives and ultimately our long-term survival as a species. Some challenges can be addressed by the development of microorganisms re-engineered to perform new functions.&nbsp; New fast and effective methods to sequence the genome of re-engineered bacteria have been developed.&nbsp; In this &ldquo;hands-on&rdquo; laboratory course, students will modify the genome of E. coli and study the inner workings of nanopore sequencing, a method allowing for the fast sequencing of entire bacterial genomes. The course gives students the experience of how science is done and how technologies are developed through the practice of experimental inquiry. To understand how a synthetic biological system is built, students will learn how to design experiments and then test their designs.&nbsp; To understand how nanopore technology was developed and how the commercially available nanopore-sequencing instrument works, students will perform experiments illustrating the guiding scientific principles behind this technology.&nbsp; The weekly meetings will include short discussions of selected topics and a discussion of the planned experiments. During the 3-hour laboratory sessions, teams of students will have access to a fully equipped laboratory dedicated to undergraduate research and will perform experiments that they design during previous class meetings. This course will show how a multidisciplinary approach contributes to today&#39;s scientific discoveries.&nbsp; Students will have flexible access to the teaching laboratory to continue their experiments outside of the hours scheduled for the seminar.",Course open to Freshman Students Only,Y,N,56,FRSEMR 25O,1800,2015,1,14.0,14.0,100.0,3.9,3.9,4.0,3.6,4.5,1.3,-1.0,3.9
191,Building a Living Cell One Brick at a Time,"Synthetic biology is an emerging multi-disciplinary field of research aimed at developing solutions to problems impacting our individual lives and ultimately our long-term survival as a species. Some challenges can be addressed by the development of microorganisms re-engineered to perform new functions.&nbsp; New fast and effective methods to sequence the genome of re-engineered bacteria have been developed.&nbsp; In this &ldquo;hands-on&rdquo; laboratory course, students will modify the genome of E. coli and study the inner workings of nanopore sequencing, a method allowing for the fast sequencing of entire bacterial genomes. The course gives students the experience of how science is done and how technologies are developed through the practice of experimental inquiry. To understand how a synthetic biological system is built, students will learn how to design experiments and then test their designs.&nbsp; To understand how nanopore technology was developed and how the commercially available nanopore-sequencing instrument works, students will perform experiments illustrating the guiding scientific principles behind this technology.&nbsp; The weekly meetings will include short discussions of selected topics and a discussion of the planned experiments. During the 3-hour laboratory sessions, teams of students will have access to a fully equipped laboratory dedicated to undergraduate research and will perform experiments that they design during previous class meetings. This course will show how a multidisciplinary approach contributes to today&#39;s scientific discoveries.&nbsp; Students will have flexible access to the teaching laboratory to continue their experiments outside of the hours scheduled for the seminar.",Course open to Freshman Students Only,Y,N,56,FRSEMR 25O,1800,2015,1,14.0,14.0,100.0,3.9,3.9,4.0,3.6,4.5,1.3,-1.0,3.9
192,Why We Animals Sing,"We do not sing alone. On land, four kinds of animals produce songs or calls: birds, frogs, mammals, and insects. Some of these (and fish) also do so underwater. The principal sounds such animal species make are signaling behaviors directly related to mating success. They are of individuals, usually males, marking territories, and wooing mates. However, in any one location, species may also compete with one another for occupation of acoustic space (that is, for bandwidth) and otherwise optimize their sound signals to features of their environment. We will explore these topics and others as we listen to and read about each of the various kinds of singers on earth, the biology of their sound production and reception, and the ways they attract mates while avoiding becoming meals for eavesdropping predators. We will listen to many different kinds of acoustic signalers across a wide array of acoustic communities in tropical and temperate settings, both terrestrial and aquatic, and we will examine sound spectra on a large screen as we listen and slow down and isolate sounds to help distinguish their parts. Finally, we will consider the biology and evolution of music in humans, considering evidence from brain studies, archaeology and anthropology, and the music of indigenous peoples. We will look at music parallels in different kinds in animals of other species. There will be field trips to listen to and record assemblages of local species. The overall objective is to awaken the students&rsquo; sense, understanding, and appreciation of the acoustic environment from which we come, and the role of this environment in shaping human biology and culture. There is a fair bit of reading required in preparation for weekly discussions. Accordingly, participation will be expected for discussion of the readings and listening experiences.",Course open to Freshman Students Only,N,Y,56,FRSEMR 22T,13448,2015,2,11.0,9.0,81.82,4.7,4.6,4.8,4.6,4.8,1.1,-1.0,4.9
193,Why We Animals Sing,"We do not sing alone. On land, four kinds of animals produce songs or calls: birds, frogs, mammals, and insects. Some of these (and fish) also do so underwater. The principal sounds such animal species make are signaling behaviors directly related to mating success. They are of individuals, usually males, marking territories, and wooing mates. However, in any one location, species may also compete with one another for occupation of acoustic space (that is, for bandwidth) and otherwise optimize their sound signals to features of their environment. We will explore these topics and others as we listen to and read about each of the various kinds of singers on earth, the biology of their sound production and reception, and the ways they attract mates while avoiding becoming meals for eavesdropping predators. We will listen to many different kinds of acoustic signalers across a wide array of acoustic communities in tropical and temperate settings, both terrestrial and aquatic, and we will examine sound spectra on a large screen as we listen and slow down and isolate sounds to help distinguish their parts. Finally, we will consider the biology and evolution of music in humans, considering evidence from brain studies, archaeology and anthropology, and the music of indigenous peoples. We will look at music parallels in different kinds in animals of other species. There will be field trips to listen to and record assemblages of local species. The overall objective is to awaken the students&rsquo; sense, understanding, and appreciation of the acoustic environment from which we come, and the role of this environment in shaping human biology and culture. There is a fair bit of reading required in preparation for weekly discussions. Accordingly, participation will be expected for discussion of the readings and listening experiences.",Course open to Freshman Students Only,N,Y,56,FRSEMR 22T,13448,2014,2,12.0,10.0,83.33,4.1,4.5,4.4,4.2,4.5,1.2,-1.0,4.5
194,Permutation and Resampling Based Statistical Methods,"Bootstrap and resampling allow for principled data analysis in diverse areas such as social, biological, or physical sciences. We will implement methods in R, conduct simulation studies, tackle applied projects, and do theoretical work.","Some introductory statistics. Some experience with R or other statistical software ideal, but not necessary.",N,Y,147,STAT 242,4854,2014,2,15.0,12.0,80.0,4.3,3.9,3.9,4.1,4.3,8.1,-1.0,4.2
195,Understanding Emotions,"Large and small, simple and complex, self-evident and confusing, emotions in all their variety are a fundamental part of life. But just what are emotions? Are they the same in all cultures? What, if any, functions do they serve? Can we control our emotions? What role do they play in development, personality, relationships and well-being? What effects can they have on physical health? And do they present special challenges to scientific study? This seminar will take up these and other fundamental questions, and will discuss methods used to study emotion and the current state of knowledge about human emotion.",Course open to Freshman Students Only,Y,N,56,FRSEMR 25Q,1802,2015,1,12.0,10.0,83.33,3.1,3.5,2.8,2.2,2.7,4.1,-1.0,3.0
196,Understanding Emotions,"Large and small, simple and complex, self-evident and confusing, emotions in all their variety are a fundamental part of life. But just what are emotions? Are they the same in all cultures? What, if any, functions do they serve? Can we control our emotions? What role do they play in development, personality, relationships and well-being? What effects can they have on physical health? And do they present special challenges to scientific study? This seminar will take up these and other fundamental questions, and will discuss methods used to study emotion and the current state of knowledge about human emotion.",Course open to Freshman Students Only,Y,N,56,FRSEMR 25Q,1802,2015,1,12.0,10.0,83.33,3.1,3.5,2.8,2.2,2.7,4.1,-1.0,3.0
197,Seeing Time in the Brain,"Time critically shapes our perceptual experience, yet how the brain represents time is poorly understood. This course investigates the experience of time from multiple perspectives, focusing on a systems-level analysis of visual time perception. Topics include illusions of time, neuronal mechanisms of time, the meaning of timescales, models of time perception, and the influence of expectation on brain activity.","LS 1a, MCB 80, and permission of the instructor.",Y,Y,91,NEUROBIO 101HFF,3917,2014,2,8.0,7.0,87.5,4.9,4.9,4.6,4.9,5.0,3.0,-1.0,4.9
198,"Beyond the Sound Bite: Women, Gender, and Sexuality in The Daily News","We are bombarded by sound bites from all over the globe, moving at disorienting speeds, reorganizing our relationship to time and space with increasingly dystopic results. This course will focus on selected televisual and digital events in &quot;real time&quot; from September-December 2016. We will analyze the embedded bits of gender and sexuality always at work in the representations of those events. Topics include: politics, the environment, military adventures, and popular revolt in dialogue with important texts in WGS Studies.",,Y,N,149,WOMGEN 1127,4907,2015,2,36.0,31.0,86.11,4.0,4.0,3.9,4.0,3.6,4.0,-1.0,4.0
199,Advanced Topics in British Empiricism,"The so-called British Empiricists (Locke, Berkeley, and Hume) take us on a journey from very sensible philosophical starting points to rather extravagant sounding philosophical conclusions. In this course we will look in depth at specific interpretive and philosophical issues that arise in connection with the British Empiricist tradition. Familiarity with the central works of Locke, Berkeley and Hume - such as one might acquire in Phil 122 or a similar course - will be presupposed.",,N,Y,122,PHIL 224,4069,2014,2,9.0,7.0,77.78,4.3,4.8,4.3,3.8,,9.3,-1.0,4.3
200,Faculty Research Assistant,,,Y,Y,70,GOV 92R,2158,2015,2,11.0,5.0,45.45,5.0,4.8,4.8,5.0,5.0,5.8,-1.0,4.8
201,Screens: Media Archaeology and Visual Arts Seminar,"How do screens function as interface between us and the world? What is the role of the screen in contemporary visual arts and media culture? The art of projection has traveled from film exhibition to art installation. With the interdisciplinary approach of visual studies, we examine the history and archaeology of screen media, their cultural and aesthetic dimensions, from pre-cinematic exhibition to the post-medium condition. Considering the art of screening in the deep time of media, we explore the changing architecture of screen space, at the crossroads of science and art, museum and moving images.",,N,Y,162,VES 283,5245,2015,2,3.0,2.0,66.67,4.0,4.5,4.5,4.5,,8.0,-1.0,4.0
202,Stranger than Fiction,"Much recent art stages slippages between the fictive and factual. False personas, invented histories, and museums of unnatural history are some such creative deceptions &mdash; so are&nbsp;Punk&rsquo;d,&nbsp;Borat, and more than a few reality TV&nbsp;programs. With a focus on installation art, photography, video, and performance but an eye to popular culture and political scandal as well, this critical studies seminar will trace precedents for treating our sense of reality as a plastic material, and explore the ethical, political, and aesthetic implications. (Note: this is not an art production class).",,Y,N,162,VES 108,5190,2015,1,31.0,21.0,67.74,3.8,4.2,4.2,3.7,3.5,4.2,-1.0,3.7
203,Stranger than Fiction,"Much recent art stages slippages between the fictive and factual. False personas, invented histories, and museums of unnatural history are some such creative deceptions &mdash; so are&nbsp;Punk&rsquo;d,&nbsp;Borat, and more than a few reality TV&nbsp;programs. With a focus on installation art, photography, video, and performance but an eye to popular culture and political scandal as well, this critical studies seminar will trace precedents for treating our sense of reality as a plastic material, and explore the ethical, political, and aesthetic implications. (Note: this is not an art production class).",,Y,N,162,VES 108,5190,2015,1,31.0,21.0,67.74,3.8,4.2,4.2,3.7,3.5,4.2,-1.0,3.7
204,The Science of Fiction,"A course in narrative fiction film production, emphasizing experimental and conceptual forms, literary adaptation and artist-filmmakers. Students push the artistic boundaries of filmmaking, each student writes, directs and edits several exercises as well as creating a short film. We then throw out our scripts and work in improvisatory, associative modes. We look closely at structure, performance and genre--melodrama, sci-fi, western. Students learn techniques of camera, lighting, sound and editing. Student work is discussed extensively in class.",,N,Y,162,VES 59,5167,2014,2,10.0,5.0,50.0,3.4,4.2,4.0,3.4,3.7,11.6,-1.0,3.4
205,Human Migration,"The course will explore human migration at several scales, time depths and data sources, including the movement of humans out of Africa and the complex movements of the first farmers across Europe and the peopling of the Americas. We will investigate the impacts of climates and disease burden on human migrations, and discuss recent movements of people and the reasons for migratory behavior in humans. In addition, a personal migration story will be developed by the class.",Recommended: Life Sciences 1b required.,N,Y,78,HEB 1540,2748,2015,1,11.0,9.0,81.82,4.9,4.4,4.8,4.6,4.8,4.0,-1.0,5.0
206,Human Migration,"The course will explore human migration at several scales, time depths and data sources, including the movement of humans out of Africa and the complex movements of the first farmers across Europe and the peopling of the Americas. We will investigate the impacts of climates and disease burden on human migrations, and discuss recent movements of people and the reasons for migratory behavior in humans. In addition, a personal migration story will be developed by the class.",Recommended: Life Sciences 1b required.,N,Y,78,HEB 1540,2748,2015,1,11.0,9.0,81.82,4.9,4.4,4.8,4.6,4.8,4.0,-1.0,5.0
207,Human Migration,"The course will explore human migration at several scales, time depths and data sources, including the movement of humans out of Africa and the complex movements of the first farmers across Europe and the peopling of the Americas. We will investigate the impacts of climates and disease burden on human migrations, and discuss recent movements of people and the reasons for migratory behavior in humans. In addition, a personal migration story will be developed by the class.",Recommended: Life Sciences 1b required.,N,Y,78,HEB 1540,2748,2014,2,10.0,9.0,90.0,4.7,4.3,4.4,4.6,5.0,2.8,-1.0,4.4
208,Laboratory Methods in Human Evolutionary Biology,"An introduction to laboratory methods in Human Evolutionary Biology. We will use state-of-the-art equipment and techniques to explore subjects of relevance to HEB, such as how humans metabolize caffeine and alcohol. Topics include quantitative pcr and genetic analysis, immunological methods, enzyme kinetics, chromatography, and measurement of isotope ratios in tissues. This course may be taken in preparation for lab-based thesis projects.",Recommended: Life Sciences 1a and Life Sciences 1b required.,N,Y,78,HEB 1419,2736,2015,2,8.0,8.0,100.0,4.9,4.6,4.8,4.8,4.8,4.7,-1.0,4.9
209,Laboratory Methods in Human Evolutionary Biology,"An introduction to laboratory methods in Human Evolutionary Biology. We will use state-of-the-art equipment and techniques to explore subjects of relevance to HEB, such as how humans metabolize caffeine and alcohol. Topics include quantitative pcr and genetic analysis, immunological methods, enzyme kinetics, chromatography, and measurement of isotope ratios in tissues. This course may be taken in preparation for lab-based thesis projects.",Recommended: Life Sciences 1a and Life Sciences 1b required.,N,Y,78,HEB 1419,2736,2014,2,5.0,4.0,80.0,4.5,3.8,4.2,4.2,5.0,4.8,-1.0,4.2
210,Mating Strategies,"In this advanced seminar, we will examine the selection pressures that drive animals (including the human animal) to make particular mating decisions. We will engage in a broad, comparative exploration of the diversity of mating strategies across the animal kingdom, paying particular attention to primates, in order to ground our understanding of human mating strategies in an evolutionary perspective. Topics to be covered include the evolution of: sex, paternal care, sex-role reversal, social monogamy versus sexual monogamy, sexual coercion, homosexual behavior, and frequency dependent mating strategies.",Human Evolutionary Biology 97 or Human Evolutionary Biology 1330 or Organismic and Evolutionary Biology 57 or permission of instructor.,N,Y,78,HEB 1366,2728,2014,2,2.0,1.0,50.0,4.0,5.0,4.0,4.0,5.0,5.0,-1.0,4.0
211,Just Institutions,"How can and do people build institutions that are just? This course examines the psychological and sociological underpinnings of people&#39;s understanding of justice and their motivation to make situations just. The course draws heavily on real world cases from a variety of social, cultural, and historical settings, as well thinking and research from sociology, philosophy, and psychology.",,Y,N,137,SOCIOL 143,4659,2015,2,12.0,7.0,58.33,3.4,3.7,3.4,3.3,5.0,6.3,-1.0,3.4
212,Just Institutions,"How can and do people build institutions that are just? This course examines the psychological and sociological underpinnings of people&#39;s understanding of justice and their motivation to make situations just. The course draws heavily on real world cases from a variety of social, cultural, and historical settings, as well thinking and research from sociology, philosophy, and psychology.",,Y,N,137,SOCIOL 143,4659,2014,2,12.0,11.0,91.67,3.8,4.1,3.9,3.6,4.8,4.5,-1.0,4.0
213,Africa Rising? New African Economies/Cultures and Their Global Implications,"In a story titled Africa Rising (2011), The Economist argued that the continent epitomizes both the &quot;transformative promise of [capitalist ] growth and its bleakest dimensions.&quot; This workshop will explore Africa&#39;s changing place in the world - and the new economies, legalities, socialities, and cultural forms that have arisen there. It will also interrogate the claim that the African present is a foreshadowing of processes beginning to occur elsewhere; that, therefore, it is a productive source of theory about current conditions world-wide. The workshop, open to faculty and students, will meet Mondays from 6:00-7:30. 15 students will be permitted to take it as a course; they will also meet on Mondays, 12:00-1:30. Grades will be based on participation and a term essay.",,Y,N,1,AFRAMER 209A,81,2015,1,22.0,17.0,77.27,4.7,4.4,4.6,4.7,4.6,3.1,-1.0,4.7
