number,course_id,cat_num,1s,2s,3s,4s,5s
NEUROBIO 95hfd,3908,3437,1,6,8,1,0
ASTRON 98,265,3121,0,1,4,1,0
IMUNOL 301,3219,4971,1,2,0,0,0
ANTHRO 1600,149,8296,2,19,4,0,0
PSY 1652r,4279,9913,5,2,0,0,0
PHIL 98hf,4044,5533,3,6,2,1,0
ITAL Aa,4415,4309,4,19,1,1,0
ANTHRO 3000,245,3454,0,3,3,0,0
PSY 3610,4367,5748,4,0,0,0,0
MATH 21a,2837,6760,1,16,78,23,6
SPANSH 30,4478,479,20,45,8,0,0
PHIL 312,4081,576,1,0,0,0,1
AFRAMER 90r,6,7010,2,13,2,0,0
SLAVIC 98,4538,1684,1,3,1,0,0
SLAVIC A,4518,8014,1,7,6,3,3
MATH 1a,2832,8434,2,15,16,3,0
PSY 2461r,4330,8042,5,3,0,0,0
SLAVIC B,4521,3262,0,5,2,4,0
MATH 1b,2833,1804,2,26,62,27,4
MATH 21b,2838,1771,2,67,104,31,12
MATH 99r,2847,6024,7,4,1,0,0
SLAVIC Gr,4535,1260,0,0,1,0,0
SLAVIC Cr,4527,847,0,1,2,0,0
SLAVIC 103,4543,8638,0,4,4,3,0
VES 96r,5184,7299,2,1,2,0,2
SWAHILI A,96,1878,3,8,0,0,0
TWI A,100,23,1,1,0,0,0
YORUBA A,104,29,3,1,1,0,0
HIST 91r,2386,1458,0,1,1,1,0
SLAVIC Bab,4522,1657,0,0,2,1,1
SLAVIC Aab,4519,4441,0,0,2,3,1
LATIN 112b,5007,7643,1,5,2,2,0
SPANSH 201,4505,5610,1,7,2,2,0
SOCIOL 160,4670,3456,2,10,1,0,0
E-PSCI 131,672,2249,0,6,6,0,0
IMUNOL 204,3216,9563,0,2,3,0,0
PHYSICS 232,4119,4885,2,3,9,8,2
MUSIC 212r,3674,4984,0,1,3,0,0
SCI-PHYUNV 13,2015,8987,2,21,8,7,0
HISTSCI 253,2691,4500,0,1,4,3,0
ANTHRO 1131,133,655,2,9,2,1,0
ARABIC 249r,3762,3572,0,2,2,1,0
PSY 975,4236,9063,2,10,5,5,0
ENG-SCI 53,1324,3604,0,2,12,2,1
ENG-SCI 221,1361,8223,1,5,0,0,0
MUSIC 183r,3649,117,1,3,1,0,0
MATH 132,2865,7725,0,0,4,1,0
CATALAN 20,4372,2559,1,0,1,0,0
KOREAN Bxb,876,3031,1,5,2,0,0
APPHY 218,1152,9804,3,6,2,0,0
OEB 99r,3935,7744,0,0,1,1,6
OEB 91r,3934,6374,0,0,0,1,0
ANTHRO 2645,211,9925,0,1,3,0,0
MCB 199,3567,9072,1,6,0,1,0
NEUROBIO 95hfj,3910,6361,6,4,0,0,0
PSY 2570r,4338,4440,0,1,0,0,0
ECON 1531,991,7018,1,8,3,0,0
MCB 146,3548,5390,2,11,1,0,0
GERMAN Dab,2090,1351,0,2,5,3,1
GERMAN 123,2102,4720,0,2,3,2,0
OEB 191,3968,2314,0,7,2,0,0
ANTHRO 1795,170,7265,4,12,2,1,0
VES 270,5242,1741,0,1,3,7,0
CHEM 40,482,8201,0,18,15,1,1
FRSEMR 32v,1827,7011,5,5,2,0,0
FRSEMR 25n,1799,9589,3,7,0,0,0
VES 301,5248,2867,0,0,0,1,0
NEUROBIO 99,3919,9400,0,0,0,6,13
PSY 2554r,4337,9481,1,1,5,1,0
ECON 2811,1085,5188,0,2,0,1,0
FRSEMR 21q,1770,8762,5,2,0,0,0
SOCIOL 129,4654,6298,13,22,9,1,0
ECON 1460,988,4540,2,4,4,1,0
ANTHRO 1165,137,9906,59,31,4,0,0
OEB 261r,3988,8451,0,5,1,0,0
PHIL 97,4043,2435,5,14,3,1,0
AESTH&INTP 35,1910,8798,6,4,0,0,0
VES 41a,5155,705,0,0,8,2,0
HISTSCI 162,2663,7570,1,6,2,0,0
ETH-REASON 20,1988,2401,15,33,15,1,0
HIST 81c,2355,296,0,1,2,0,0
SYSTBIO 201,4941,5148,0,3,0,0,0
IMUNOL 202,3215,5674,2,7,0,0,0
ECON 2058,1024,2872,2,4,1,0,0
LIFESCI 100r,2770,2122,0,8,8,3,1
ANTHRO 2626,205,9193,1,1,3,1,0
COMPSCI 277,1275,3067,1,2,2,1,0
ECON 1011b,957,6993,6,31,16,3,2
ECON 2010b,1012,8659,4,3,11,6,9
ECON 2020b,1016,4058,2,7,5,3,0
ECON 1126,969,4076,1,4,9,3,1
ECON 2390c,1050,388,0,2,4,0,0
ECON 1410,980,6136,14,11,1,0,0
ECON 1420,982,8110,56,55,15,0,0
ECON 1745,1001,5889,10,65,22,1,0
ECON 2450b,1061,6478,7,3,0,0,1
ECON 2725,1078,1427,0,2,5,2,0
ECON 2530b,1067,7144,0,1,1,1,0
ECON 2611,1071,2302,0,5,2,0,0
PORTUG 97,4452,5769,0,5,0,0,0
ECON 2120,1035,2352,0,12,13,9,7
MATH 243,2894,8136,2,2,1,1,0
GERMAN Ax,2086,7177,0,4,1,0,0
VES 51a,5159,7526,0,1,6,1,1
PSY 2050,4303,3378,0,3,1,1,0
PHYSICS 269r,4129,6214,0,2,2,3,2
CHNSE Bb,756,8714,1,16,25,18,6
CHNSE 120b,763,1702,1,11,18,7,1
CHNSE 130b,766,2917,0,15,9,9,1
CHNSE 106b,759,3600,3,2,2,1,0
CHNSE 107b,761,6931,0,2,0,0,0
CHNSE 123xb,764,7034,0,2,12,5,2
CHNSE 140b,770,6844,1,11,17,2,1
CHNSE 142b,772,1418,0,3,3,0,0
JAPAN 120b,847,6433,0,3,11,8,2
JAPAN 130b,849,6904,2,7,9,2,0
JAPAN Bb,842,8728,1,32,17,3,4
JAPAN 140b,851,8551,1,4,6,0,0
JAPAN 150b,853,984,0,2,3,0,0
KOREAN Bb,874,8718,2,8,4,1,0
KOREAN 120b,879,8590,0,1,1,0,0
KOREAN 130b,881,2662,2,2,0,0,0
PHIL 156,4059,3410,6,16,4,0,0
EASTD 140,837,856,1,5,3,0,0
CHNSE 150b,774,8111,1,7,4,1,2
GOV 2782,2295,742,0,7,5,1,0
BIOPHYS 205,330,6777,0,0,2,1,0
GERMAN Cb,2089,2608,0,8,8,2,0
SPANSH Acd,4475,5577,1,1,11,1,0
PSY 15,4231,4760,55,86,11,1,1
PSY 2640r,4341,7865,0,0,2,0,0
ECON 1123,968,813,15,40,10,3,0
ENG-SCI 165,1344,4274,1,3,3,0,0
MATH 113,2852,405,2,22,14,3,0
OEB 51,3926,7873,4,6,2,1,0
DRAMA 116,648,9926,6,3,0,0,0
MUSIC 207r,3669,2149,0,0,2,3,0
KOREAN 140b,883,3011,0,5,1,0,0
DRAMA 110,643,3321,13,0,0,0,0
DRAMA 115,647,6659,2,6,3,0,0
COMPSCI 51,1225,3411,0,17,39,23,12
COMPSCI 124,1231,5207,1,1,15,11,13
COMPSCI 181,1245,6454,0,4,13,11,4
GREEK Ab,4980,457,0,3,4,2,0
GREEK Bb,4983,3361,0,1,4,1,1
GREEK Aab,4979,714,0,0,0,3,2
LATIN Ab,4996,2101,0,7,3,2,0
LATIN Bb,5000,2488,0,5,3,0,0
SWAHILI 101br,99,7746,1,4,1,0,0
BIOSTAT 231,410,8773,1,2,3,3,0
BIOSTAT 233,412,7804,0,3,3,2,1
BIOSTAT 251,419,5280,1,0,2,6,1
SOCIOL 202,4688,4117,1,0,9,3,0
GERMAN Bab,2087,8629,0,2,6,12,3
PSY 2580r,4339,4262,0,0,4,0,0
MATH 112,2851,1123,0,5,16,8,4
KORHIST 230r,892,4497,0,0,2,0,2
CHEM 20,479,876,1,21,32,20,3
CHEM 27,480,5978,4,73,88,45,12
CHEM 135,492,3406,3,8,3,1,0
CHEM 161,499,3575,0,3,9,5,0
BIOPHYS 242r,331,6011,8,1,0,0,0
SCI-PHYUNV 25,2025,1387,24,34,5,0,0
COMPSCI 1,1221,6903,3,16,23,10,2
ITAL Ax,4418,4015,1,4,2,0,0
SLAVIC 115,4547,795,1,11,3,0,0
NEUROBIO 221,3352,443,0,11,2,1,0
MATH 212br,2877,7294,0,1,0,2,0
GERMAN 72,2097,5412,0,5,2,0,0
OEB 55,3930,3365,4,18,11,1,0
OEB 121a,3947,4049,0,0,3,1,1
APMTH 21b,1112,5074,2,21,17,2,1
APMTH 107,1120,6411,1,4,6,4,1
ANTHRO 97x,112,400,1,7,3,0,0
PSY 3555,4365,6831,3,0,0,0,0
ARABIC 135,3748,4454,2,4,2,0,0
ENGLISH Capr,1468,6523,1,5,6,4,1
PSY 971,4235,3498,3,15,10,0,0
VES 152r,5208,8012,1,1,1,1,0
ANTHRO 97z,113,5832,1,16,5,0,0
HIST 1965,2460,7148,3,4,4,1,0
PHYSICS 15a,4091,1984,0,18,22,7,1
PHYSICS 15c,4093,8676,0,5,13,7,3
PHYSICS 123,4098,864,0,0,4,2,1
PHYSICS 143a,4104,1050,0,3,15,15,9
FRSEMR 44g,1872,1032,2,2,0,0,0
ECON 2680,1075,6529,0,0,2,1,0
GOV 97,2193,3023,16,82,41,6,3
APPHY 295b,1163,3610,0,1,5,1,0
FRSEMR 21o,1768,7584,8,3,0,0,0
FOLKMYTH 97,1755,3789,0,2,3,0,0
PHYSICS 125,4099,6990,1,2,3,0,0
MATH 101,2848,8066,1,7,8,2,3
OEB 123,3949,508,0,2,1,0,0
SOCIOL 237,4706,4320,0,2,1,0,1
SPANSH 97,4493,2315,1,5,5,0,0
CLAS-STDY 97a,4953,3965,5,6,3,0,0
MCB 111,3537,6444,0,3,9,3,1
GOV 2285,2277,1566,0,1,1,3,3
HEB 1420,2737,6233,0,12,8,3,2
MUSIC 194r,3663,98795,2,4,1,0,0
FRENCH 97,4394,173,0,3,2,0,0
VES 123r,5192,7463,0,0,7,2,1
GENETIC 216,3100,2244,0,2,7,1,0
SCRB 125,4879,5481,17,19,3,1,0
ENG-SCI 274,1394,5645,0,2,9,4,1
MUSIC 201a,3665,4975,0,1,2,0,0
ROM-STD 79,4462,8713,8,9,0,0,0
PSY 3250,4356,7164,1,5,0,0,0
MCB 156,3555,8543,0,8,4,1,0
ENGLISH Ctr,1477,7175,2,7,2,0,0
ENGLISH Ckr,1471,6781,0,1,4,1,0
ENGLISH Crr,1476,1893,0,8,4,0,0
AFRAMER 218,84,9951,0,0,1,3,2
APMTH 111,1121,7000,0,10,7,6,1
AFRAMER 10,1,802,51,107,16,0,1
GOV 2105,2265,154,0,1,0,5,6
ANTHRO 2070a,191,4634,0,0,3,3,2
HAA 51p,2548,6427,2,7,1,0,0
HIST 2442,2490,2383,0,0,6,2,0
GOV 1740,2237,7406,14,24,10,0,0
HIST 2885,2510,3274,0,0,2,0,0
PSY 2190,4312,2529,0,1,0,1,0
ANTHRO 1610,150,2622,0,1,5,0,1
ECON 2010d,1014,2041,2,4,10,5,4
MUSIC 160r,3642,8026,1,3,1,0,0
E-PSCI 240,704,187,0,2,2,0,0
MATH 154,2873,4306,0,7,4,1,0
GREEK H,4984,6323,0,0,0,1,2
GREEK 201,4993,1968,0,0,0,4,1
RELIGION 97,5030,2313,0,7,5,0,0
AFRAMER 118,43,7429,4,3,3,1,0
BIOSTAT 244,415,2140,0,2,3,1,0
BIOSTAT 245,416,3247,2,3,4,0,0
ECON 2149,1040,7236,0,2,3,2,0
RELIGION 1627,5095,9638,0,1,1,1,0
GOV 2001,2247,8941,0,11,16,6,3
STAT 140,4838,7112,0,5,7,3,0
SOCIOL 25,4628,3609,23,57,8,3,0
FRENCH 70a,4388,2865,4,11,2,0,0
VES 167,5222,4902,0,6,3,0,0
VES 160,5215,6668,3,5,3,1,0
OEB 130,3951,4624,4,5,2,0,0
OEB 234,3982,4637,9,2,2,0,0
ENGLISH Clr,1472,6121,0,5,3,1,1
SCI-LIVSYS 16,2006,470,12,15,4,0,0
ECON 1818,1006,3029,36,15,4,1,0
STAT 149,4839,6617,2,7,6,2,0
ECON 1530,990,2269,0,7,1,1,0
MATH 25b,2842,1590,0,0,2,9,19
MATH 123,2860,5613,1,4,13,7,3
MATH 213br,2879,2641,0,1,0,1,0
MATH 230br,2887,504,0,1,0,1,0
LING 241r,2822,4260,0,2,1,0,0
STAT 303hf,4862,3545,5,1,0,0,0
STAT 100,4827,3808,15,51,15,0,0
HAA 100r,2556,9414,1,5,2,0,0
PHYSICS 15b,4092,2701,4,18,38,17,5
PSY 2553r,4336,4679,0,2,2,0,0
TWI B,101,25,1,0,0,0,0
YORUBA B,105,31,1,1,0,0,0
HIST 1878a,2451,5471,2,10,4,0,0
EXPOS 20,1749,5518,124,512,182,23,10
SWAHILI B,97,3442,1,1,0,0,0
PSY 1430,4261,8922,4,11,2,0,0
HAA 175k,2582,6910,5,20,8,1,0
HIST 2480hf,2499,3719,0,3,3,0,0
SLAVIC 97,4537,7595,0,3,2,0,0
RELIGION 99,5033,6498,1,1,1,1,1
ARABIC A,3738,5773,2,13,26,9,2
CLAS-HEB A,3780,8125,0,2,1,0,0
MOD-HEB B,3835,4810,0,6,4,1,0
PERSIAN A,3862,8143,4,5,5,2,2
YIDDISH A,3900,4623,0,4,0,0,0
BCMP 234,2948,9644,4,7,4,1,0
PSY 2530r,4335,2364,2,0,7,1,1
MUSIC Bhf,3610,3045,3,2,1,0,0
HLTHPOL 2000,2309,4522,1,2,5,0,0
GERMAN A,2085,4294,2,14,12,6,0
PHIL 311,4080,5370,2,0,1,0,0
ENG-SCI 1,1318,314,4,7,8,0,0
APPHY 235,1155,5081,0,5,10,1,1
E-PSCI 202,692,9798,0,3,1,0,0
CHEM 205,505,6636,0,5,7,6,1
HIST 73b,2332,1881,0,5,4,0,0
HIST 2300,2478,7779,0,3,4,1,1
HIST 1270,2406,1910,0,1,1,0,0
GOV 2010,2253,7421,2,5,5,1,0
HIST 1290,2410,9566,0,3,7,3,1
SOC-STD 10b,4596,5097,1,23,51,18,7
COMPSCI 179,1244,4052,1,7,11,3,6
OEB 173,3962,9667,1,1,2,0,0
COMPSCI 171,1242,8877,2,24,21,8,2
HIST 84i,2372,6171,0,0,2,0,0
FRSEMR 42v,1866,1757,2,3,1,0,0
PHIL 137,4052,3360,3,13,6,0,0
FRSEMR 26s,1811,12,8,0,0,0,0
GOV 1732,2236,7668,9,51,28,7,1
HEB 2460,2754,1073,0,4,0,0,0
HIST 2653,2504,4442,0,0,4,1,1
FRSEMR 42k,1862,9992,1,1,0,0,0
OEB 223,3978,1434,3,5,1,0,0
MUSIC 221r,3686,5926,0,2,1,0,0
STAT 324r,4867,3366,3,9,0,0,0
MCB 151,3550,5799,0,4,2,1,0
ENGLISH Calr,1466,1240,0,3,7,0,0
HISTSCI 288,2702,6645,0,0,5,2,1
AFRAMER 97,29,3022,1,4,1,0,0
AFRAMER 11,2,9428,3,3,1,0,0
LIFESCI 110,2771,5701,5,4,0,0,0
ITAL 201r,4433,6124,0,3,2,0,0
ECON 2726,1079,4451,0,3,0,0,0
ECON 2880,1087,7488,1,1,0,0,0
OEB 167,3960,4070,15,8,3,0,0
MCB 234,3572,870,2,6,3,1,0
ASTRON 151,272,3025,0,4,5,0,0
UYGHUR B,917,5271,0,2,0,0,0
MBB 92,3522,7390,1,8,1,0,0
MBB 96,3526,2517,14,8,2,0,0
SLAVIC 176,4569,9878,0,2,3,4,0
WOMGEN 1210qt,4913,9232,0,10,6,1,0
FRSEMR 30l,1820,7650,1,2,0,0,0
CHNSE 187,778,1253,5,13,3,0,0
ECON 1060,966,3267,1,12,4,0,0
FRSEMR 22m,1776,6810,10,1,0,0,0
FRSEMR 40i,1858,7142,4,9,0,0,0
APMTH 121,1124,3187,0,6,26,15,4
STAT 245,4856,3488,0,1,2,2,2
DRAMA 117,649,1465,6,5,1,0,0
BIOSTAT 291,421,5654,4,2,1,0,0
ECON 1059,965,1322,2,3,1,1,1
E&M-REASON 16,1973,8782,12,12,1,0,0
ECON 1389,978,1900,5,11,4,0,0
CHNSE 130xb,768,2437,0,5,9,1,0
CHNSHIS 200r,782,5606,0,2,1,1,0
MATH 233br,2893,3316,0,0,0,3,6
CULTR&BLF 21,1937,2073,10,11,9,0,0
PSY 1853,4290,615,3,10,4,0,0
AESTH&INTP 16,1897,30214,9,7,1,0,0
HIST 1011,2389,45321,10,28,10,1,1
HIST 1457,2430,75535,15,61,15,1,2
HIST 79e,2346,17812,0,5,6,0,0
SLAVIC 280r,4583,1909,0,1,3,4,0
PSY 1307,4256,63133,5,5,3,0,0
HIST 74n,2335,26718,1,1,6,0,1
HIST 76c,2340,119,0,1,0,2,0
HIST 2110,2468,50731,0,0,1,0,0
HISTSCI 215r,2681,4568,1,2,2,1,0
GERMAN 290,2123,7036,0,3,3,0,0
MATH 224,2884,25927,1,1,0,0,0
SLAVIC 148,4556,7101,5,9,5,0,1
MATH 229x,2885,41034,1,3,3,2,0
ANTHRO 1080,127,5190,3,6,1,0,0
GOV 2576,2290,7260,0,2,4,2,0
MCB 131,3543,9868,0,1,6,3,2
GOV 1072,2205,91765,7,22,6,1,0
JAPNLIT 162,869,27841,0,8,4,0,0
SLAVIC 149,4557,36747,0,2,7,0,0
EASTD 191,839,39452,0,3,2,0,0
FRSEMR 44j,1873,7826,7,5,0,0,0
PHYSICS 129,4100,42157,0,4,3,0,0
PHIL 174,4065,3266,1,7,6,0,0
PHIL 187,4068,2594,1,10,5,0,0
GERMAN 182,2112,95593,0,6,1,0,0
ECON 1425,983,68084,0,10,7,2,0
ANTHRO 2250b,200,64588,1,1,4,1,0
ECON 2057,1023,3755,1,6,4,2,0
E&M-REASON 11,1969,37079,1,8,3,2,1
ECON 1056,964,69207,4,7,1,0,0
COMPSCI 229r,1262,3730,2,2,3,1,0
AFRAMER 133,48,47899,0,6,5,2,1
MICROBI 210,3312,63006,9,2,0,0,0
ECON 1490,989,35497,0,12,6,1,0
GOV 1358,2226,65711,6,31,14,2,1
ECON 2146,1039,8715,0,2,2,0,2
GOV 1092,2209,6197,4,15,4,0,0
MUSIC 186,3651,40907,1,3,2,3,2
MUSIC 97b,3621,71121,1,10,7,0,0
GOV 2080,2259,4345,0,6,0,0,0
ASTRON 100,267,95134,7,8,0,0,0
ASTRON 130,270,73826,1,6,3,0,0
FRSEMR 31t,1826,1467,0,2,0,1,0
GOV 2094,2261,55223,0,1,3,1,1
SLAVIC Cc,4525,6028,0,1,0,0,0
RELIGION 1816,5110,18808,0,1,2,2,0
GOV 1310,2225,33915,89,61,10,1,0
FRSEMR 21w,1772,60,7,2,0,0,0
FRSEMR 26z,1815,20722,2,0,0,0,0
SOC-STD 98lf,4606,68748,0,3,6,0,0
SOC-STD 98lh,4607,83855,0,4,4,2,0
ENGLISH 40,1480,62547,0,5,3,0,0
ENGLISH 90tv,1515,71453,1,7,3,1,0
ENGLISH 60,1486,65252,0,4,4,1,0
VES 38,5152,43153,1,6,2,0,0
CULTR&BLF 35,1950,69871,26,28,5,0,0
CHNSE 163,775,6558,0,5,6,2,0
ECON 2393,1052,62879,0,1,0,0,0
STAT 123,4834,71785,2,24,35,6,3
STAT 215,4846,29169,0,4,3,0,0
ECON 2465,1063,83396,0,5,3,1,1
ENGLISH 192,1539,10566,2,5,5,0,0
PSY 1604,4276,92302,5,12,3,0,0
E-PSCI 182,686,37284,0,4,3,3,0
FRSEMR 42n,1863,5714,7,3,0,0,0
SOCIOL 145,4660,8737,8,30,8,1,0
CHEMBIO 2200,475,3459,3,3,1,0,0
CHEM 301hf,515,9903,18,1,0,0,0
ECON 2056b,1022,402,2,2,2,0,1
ENGLISH 90hs,1500,8795,0,6,0,0,0
ENGLISH 141,1529,8683,4,12,13,2,0
SOCIOL 159,4669,9611,5,40,15,4,0
NEUROBIO 95hfh,3909,2579,2,7,0,0,0
AFRAMER 147,56,2929,0,2,2,0,0
SCAND 115,2134,9052,1,11,3,0,0
SPANSH C,4477,5819,31,32,10,0,0
SPANSH 40,4479,9393,10,49,11,1,0
SPANSH Ab,4474,3328,43,61,20,0,0
ITAL Ab,4416,7029,6,20,12,3,0
SPANSH Aa,4473,507,10,17,4,1,0
SCRB 167,4888,9556,0,10,2,1,0
HISTSCI 150,2659,135,3,8,0,0,0
SCRB 165,4887,9605,2,7,7,0,0
OEB 100,3936,9930,0,0,2,2,0
AESTH&INTP 12,1893,748,9,10,1,0,0
ITAL 96r,4424,3749,2,6,0,0,0
MATH 118r,2857,6402,2,1,5,1,0
SOC-STD 98kg,4605,37,0,3,4,0,0
CULTR&BLF 25,1941,1316,21,59,11,1,0
BIOSTAT 238,414,9623,1,3,2,0,0
EXPOS 40,1750,9155,2,7,0,1,0
FRSEMR 23l,1782,4235,13,4,0,0,0
FRSEMR 23o,1785,3444,12,2,0,0,0
SOC-STD 40,4597,476,1,14,8,0,0
HIST 3920hf,2522,5222,10,2,0,0,0
PHIL 315hf,4082,9781,1,0,0,0,0
ENGLISH Camr,1467,2555,0,4,3,0,0
STAT 285r,4859,512,12,8,4,0,0
SOCIOL 43,4630,9625,28,29,2,1,0
MUSIC 51b,3618,9585,11,13,4,1,0
ENGLISH Cnnr,1474,2121,0,4,4,1,1
ENGLISH Cnfr,1473,6740,1,7,2,1,0
GOV 1016,2199,737,0,6,6,0,0
ENG-SCI 231,1368,1486,0,7,6,2,0
ANTHRO 1125,131,593,9,12,1,0,0
GENETIC 202,3099,8064,0,4,1,0,0
SLAVIC 151,4559,2505,0,1,0,0,0
HSEMR-WI 75,2713,7271,8,6,2,0,0
EASTD 97ab,823,2337,0,14,9,2,0
SCI-PHYUNV 12,2014,6001,18,22,6,2,0
HIST 97,2387,4469,0,3,18,28,18
STAT 101,4828,5128,13,37,12,1,0
ECON 2333,1046,6800,0,3,1,0,0
MUSIC 222r,3687,4055,0,4,1,0,0
ROM-STD 201,4469,934,0,2,5,1,0
ECON 2040,1018,8485,4,12,0,0,0
LING 207r,2813,31141,0,2,1,0,0
SOCIOL 224,4700,8202,0,6,6,0,1
MUSIC 219r,3683,2275,1,2,0,0,0
COMPSCI 165,1241,560,0,13,16,2,2
VES 37,5151,3090,0,2,2,1,1
ENG-SCI 128,1334,359,0,1,3,0,0
HIST 2272,2476,7969,0,0,0,2,2
HIST 82d,2360,461,0,3,0,1,0
PHYSICS 287a,4136,2012,0,2,4,3,1
VES 40a,5153,2010,0,2,5,2,0
PSY 2445,4325,1835,0,3,5,0,0
OEB 57,3932,2539,47,77,20,0,0
GREEK 110r,4987,6229,0,6,6,0,0
ENGLISH 90lv,1505,3200,1,12,6,1,0
CELLBIO 211,3012,5771,1,2,0,0,0
PSY 13,4229,8706,4,6,1,1,0
SPANSH Ax,4476,5318,0,4,0,0,0
ARABIC Bb,3740,973,0,15,12,3,3
LATIN 134,5011,1327,4,5,2,0,0
OEB 212r,3973,2176,0,2,1,0,0
SLAVIC Ac,4520,496,0,0,3,1,2
SOCIOL 204,4691,6189,0,3,3,4,1
CHEM 158,497,7504,12,7,0,0,0
PHYSICS 195,4114,2978,0,1,0,3,0
HEB 1310,2719,2265,25,31,7,1,0
STAT 104,4829,4582,9,87,43,7,2
WOMGEN 97,4903,7217,0,7,5,0,0
MATH 155r,2874,6612,0,0,4,1,2
MATH 19a,2835,1256,0,16,30,2,0
BCMP 201,2943,5068,2,8,9,4,1
PORTUG Ba,4445,514,2,12,5,1,0
PORTUG Ad,4444,1315,10,16,3,0,0
CELTIC 151,445,5560,2,5,2,0,0
PHYSICS 191r,4113,7711,0,2,2,1,2
ITAL 40,4421,804,2,3,3,0,0
ENG-SCI 201,1351,2362,0,2,1,5,0
ASTRON 302,286,9869,0,3,0,0,0
FRENCH 55,4382,7122,6,19,8,1,0
SLAVIC Gb,4534,7126,0,0,1,0,0
SLAVIC Db,4529,6907,0,2,3,1,0
PSY 2040,4302,4628,0,2,0,4,0
DRAMA 130r,653,8160,2,4,2,0,0
MICROBI 213,3313,7905,2,5,0,0,0
ECON 1661,998,2115,12,35,8,0,0
SLAVIC Cb,4524,7117,0,0,1,1,0
SLAVIC 112,4545,3290,1,1,1,1,0
SOCIOL 156,4667,8958,3,24,23,4,2
PSY 1952,4299,6191,0,4,3,1,2
SOCIOL 97,4633,5079,1,24,18,5,0
STAT 211,4844,1946,0,1,7,4,4
STAT 171,4842,4180,0,7,23,4,5
STAT 111,4832,1836,4,40,32,9,1
VES 150br,5205,3934,0,0,2,1,4
HIST 1390,2421,1517,0,3,2,0,0
FRSEMR 25t,1804,24,10,4,0,0,0
YORUBA 101br,107,35,0,0,0,1,0
E-PSCI 107,669,61716,2,6,0,0,0
COMPSCI 221,1256,5812,0,2,5,4,3
VES 181,5229,648,2,3,3,0,0
HIST 1920,2455,1925,1,3,5,1,0
ENG-SCI 150,1337,8997,0,0,6,1,0
ENG-SCI 222,1362,696,0,0,1,0,3
GOV 2710,2291,8310,0,5,2,0,2
ENG-SCI 50,1322,4499,2,10,5,0,0
DRAMA 136,657,1116,4,6,0,0,0
PHYSICS 251b,4123,2689,1,4,7,8,7
ECON 970,932,7923,11,90,59,23,2
CHEM 165,501,667,2,1,9,2,1
JAPAN 210b,855,8918,0,0,2,1,0
SOC-STD 98cl,4600,7389,1,4,4,0,0
GOV 1295,2224,4241,4,38,29,4,1
NEC 97r,3857,167,0,2,1,1,0
ENG-SCI 151,1338,5742,0,0,1,3,1
PHIL 144,4054,1111,0,3,13,4,0
MUSIC 121a,3628,1550,6,1,1,0,0
NEUROBIO 209,3350,5562,0,7,1,0,0
CHEM 60,483,5181,0,10,7,1,0
APMTH 202,1127,6559,0,0,9,3,2
KOREAN 150b,885,1282,0,3,0,0,0
COMPSCI 152,1237,6841,0,2,5,2,0
APPHY 298r,1164,7500,0,7,3,0,0
NEUROBIO 207,3349,4977,0,7,2,2,0
ECON 1052,963,2634,0,2,8,4,2
ECON 2052,1020,3690,0,0,0,3,4
ECON 2535,1068,6410,0,0,6,2,0
OEB 52,3927,1343,11,11,5,0,0
MUSIC 219rs,3684,1518,1,2,1,0,0
FRSEMR 30o,1821,1897,13,2,0,0,0
LATIN Bbm,5001,2096,0,2,2,1,0
LIFESCI 1b,2767,2159,62,223,114,19,10
ASTRON 202b,279,2446,0,10,5,1,0
APPHY 293,1160,6796,0,1,2,0,0
CELLBIO 201,3010,1044,3,19,16,4,3
CELLBIO 207,3011,2044,2,3,1,0,0
RELIGION 2002,5115,803,0,1,4,0,2
PSY 2020ab,4301,7860,0,1,4,2,3
PHYSICS 11b,4090,5472,2,22,49,18,7
PHYSICS 145,4106,6057,0,0,5,3,0
PHYSICS 153,4108,264,0,1,8,2,2
MCB 54,3530,801,7,39,51,11,4
MCB 56,3531,5424,0,11,6,3,1
OEB 53,3928,3342,9,30,5,0,0
SPANSH 50,4480,6794,22,52,12,1,0
BPH 212,294,703,0,1,2,0,0
PHYSICS 181,4112,6346,2,18,18,1,0
PHYSICS 253b,4125,5250,0,0,0,2,3
ARABIC 130b,3742,2964,0,1,2,1,1
ARABIC 131b,3744,697,0,6,9,1,0
ARABIC 241br,3755,6399,0,1,1,2,0
MOD-HEB 120b,3837,2563,2,6,2,0,0
ECON 2490,1065,9061,2,2,0,0,0
APPHY 291,1158,1761,0,4,1,0,0
VIETNAM 120b,924,6178,0,1,1,0,0
ENG-SCI 6,1319,2969,14,28,5,0,0
ESPP 10,1566,6383,1,16,14,1,0
WOMGEN 99b,4906,5847,0,0,0,2,1
GERMAN 66,2095,6537,4,12,3,0,0
HAA 206,2595,6180,0,5,0,0,0
ECON 2728,1081,8633,2,11,8,0,0
LAT-STD 70,4437,3379,3,6,3,0,0
RELIGION 1437,5069,5997,4,3,1,0,0
MUSIC 1b,3612,4952,41,54,15,2,1
BPH 210,293,3078,2,2,1,0,0
NEUROBIO 204,3348,5603,0,6,5,1,2
VIROLOGY 201,3471,1190,0,5,3,1,0
MATH Mb,2831,3857,2,29,22,3,1
MATH 55b,2844,3312,0,0,1,3,8
MATH 23b,2840,8571,3,28,27,4,4
